game_id,cluster
10,12
20,12
30,5
40,12
50,12
60,12
70,12
80,12
130,12
220,12
240,5
280,12
300,5
320,12
340,12
360,12
380,12
400,10
420,12
440,1
500,12
550,11
570,1
620,12
730,1
1200,5
1250,11
1280,5
1510,0
1520,5
1630,3
1640,3
1700,13
1930,13
2100,13
2200,12
2210,12
2270,12
2280,12
2290,12
2300,12
2310,12
2320,12
2400,12
2450,12
2500,8
2590,12
2600,13
2610,13
2620,5
2630,5
2640,5
2700,2
2820,2
2870,2
2990,4
3020,12
3320,8
3330,8
3480,8
3590,8
3700,12
3710,12
3720,2
3730,12
3830,7
3900,5
3910,5
3920,13
4000,1
4500,12
4560,5
4570,5
4580,5
4700,5
4720,11
4760,5
4780,5
4850,5
4920,12
6000,12
6010,10
6020,13
6030,12
6040,10
6060,12
6120,7
6200,8
6220,4
6250,5
6300,13
6310,10
6420,5
6510,13
6550,13
6800,5
6830,5
6840,5
6850,12
6860,13
6880,13
6900,13
6910,12
6920,12
6980,13
7000,13
7110,13
7200,8
7510,13
7520,13
7600,2
7670,12
7830,5
7860,12
7940,12
8000,13
8080,13
8140,13
8170,5
8190,13
8400,8
8500,1
8600,4
8800,3
8850,12
8870,12
8930,3
8980,12
9010,12
9050,12
9180,7
9200,12
9219,12
9310,5
9350,5
9420,5
9450,5
9460,12
9480,13
9900,1
9940,7
10090,12
10130,12
10150,13
10180,12
10220,13
10270,3
10500,5
10680,12
11280,12
11390,4
11450,13
12100,13
12110,13
12120,13
12130,11
12140,13
12150,13
12200,13
12210,13
12220,4
12240,13
12320,13
12360,4
12500,8
12710,13
12810,13
12830,5
12900,8
13210,12
13230,12
13240,12
13250,12
13500,13
13520,12
13560,13
13570,13
13580,13
13600,13
15100,13
15120,12
15130,13
15170,3
15190,5
15210,5
15300,12
15320,5
15370,3
15390,5
15520,8
15620,5
15700,7
15710,7
15740,7
15750,13
16450,12
16720,13
16730,12
16900,5
17300,12
17330,12
17390,8
17410,12
17430,4
17440,8
17450,13
17460,13
17470,11
17480,5
17710,12
18500,8
19830,12
19900,12
19980,13
20500,12
20510,12
20530,12
20540,5
20550,12
20570,5
20900,13
20920,13
21000,8
21090,11
21100,12
21130,8
21690,11
21980,12
22000,10
22100,13
22120,11
22180,11
22200,10
22230,8
22300,13
22310,12
22320,13
22330,13
22340,11
22350,1
22370,13
22380,12
22450,13
22600,8
22610,8
23310,3
23490,2
23530,12
24010,4
24240,12
24420,7
24670,4
24720,6
24740,4
24780,2
24790,5
24800,5
24810,5
24840,5
24870,4
24960,5
24980,13
25000,8
25800,5
25830,5
25890,5
25900,3
26800,7
27000,10
28000,13
29800,13
31270,10
31280,8
31290,10
32360,10
32370,13
32380,12
32390,12
32400,12
32430,13
32440,8
32460,10
32469,10
32470,5
32500,13
32510,8
32800,13
33100,12
33120,12
33230,13
33320,13
33460,2
33680,7
33900,5
33930,5
34010,13
34030,5
34190,8
34270,7
34330,5
34830,12
34870,12
34900,8
35000,7
35130,7
35140,13
35450,5
35460,12
35700,7
35720,7
37000,11
37600,10
38400,3
38410,3
38420,3
38600,8
38700,7
38720,8
38740,7
39120,1
39140,3
39160,13
39190,13
39200,13
39500,13
39510,13
39540,13
39670,12
39680,2
39690,13
39800,8
40100,5
40300,13
40380,8
40390,13
40400,5
40700,10
40720,10
40800,7
40950,2
40960,2
40970,2
41000,12
41050,12
41060,12
41070,12
41300,8
41500,13
41700,12
41900,13
42120,13
42170,13
42670,12
42680,12
42700,12
42910,8
42960,5
42990,3
44340,5
44350,4
45100,8
45400,8
45700,13
45740,6
45760,8
45770,11
46500,10
46510,10
46560,5
47000,10
47400,2
47780,11
47790,12
47800,3
47870,4
47890,8
47920,4
48000,7
48110,5
48190,13
48220,3
48240,2
48700,13
48705,5
48720,13
48800,4
49470,3
49520,12
49540,12
49600,8
50130,13
50300,13
50620,13
55040,8
55110,12
55140,4
55150,13
55230,13
56400,5
56437,5
57300,11
57400,13
57640,10
57690,2
57740,3
57900,12
58520,3
58610,5
61700,3
62100,8
63200,8
63380,5
63700,8
63710,7
63910,3
63940,5
63950,5
64000,5
65300,7
65540,13
65740,5
65790,5
65800,13
65930,13
65980,3
67370,12
70000,1
70300,7
70400,9
70420,13
70600,8
71230,4
71250,7
71260,8
71340,7
72200,8
72730,11
72740,13
72750,13
72760,13
72771,13
72850,13
73010,2
73020,5
73170,5
78000,8
80310,10
80330,10
91100,8
91200,8
91330,5
91600,12
91700,12
91900,8
92000,13
92100,8
92300,7
92800,8
93200,8
94200,8
94300,10
94400,8
95300,7
95400,7
96000,10
96100,7
97000,8
97100,12
97330,3
98200,3
98300,8
98400,12
98800,0
99300,8
102500,13
102600,13
102840,7
104200,7
104900,1
105000,10
105450,5
105600,6
107100,13
107200,6
107300,3
107310,3
107410,5
107600,8
107800,7
108200,3
108600,6
108710,11
108800,12
110800,10
113020,8
113200,0
113204,0
115100,3
115110,10
115120,8
115300,12
115800,7
200010,8
200170,8
200260,13
200510,3
200710,13
200900,7
200910,8
200940,7
201270,5
201290,5
201310,2
201330,13
201420,7
201480,3
201510,11
201790,13
201810,12
201830,11
201870,13
202170,13
202200,3
202310,4
202530,7
202570,13
202710,13
202750,11
202970,12
203140,13
203160,13
203210,8
203350,3
203510,7
203630,3
203650,7
203680,8
203750,13
203770,5
203810,10
203830,10
204030,13
204060,10
204100,13
204120,13
204180,8
204240,7
204300,7
204340,12
204360,7
204450,12
204530,5
204630,8
204880,5
205100,13
205610,2
205650,10
205840,10
205910,7
205950,7
205990,3
206190,7
206420,13
206440,10
207080,8
207140,8
207170,13
207320,13
207350,13
207490,7
207610,10
207620,10
207690,10
207750,8
207815,12
208140,3
208200,11
208400,3
208480,13
208500,4
208520,3
208580,13
208650,13
208730,13
208750,7
209000,13
209080,1
209120,8
209160,12
209370,9
209650,12
209670,8
209830,11
210770,12
210970,10
211050,3
211070,3
211160,13
211260,7
211340,9
211400,7
211420,13
211500,4
211600,13
211720,13
211740,13
211820,6
212010,13
212030,8
212480,8
212630,12
212680,0
213330,8
213610,7
213670,3
213850,3
214170,13
214190,1
214250,11
214340,10
214360,8
214420,1
214490,11
214510,8
214560,7
214590,7
214700,10
214730,3
214770,7
214790,7
214830,7
214870,12
214931,12
214932,12
