game_id,game_title,review_count
730,Counter-Strike: Global Offensive,2469314
578080,PLAYERUNKNOWN'S BATTLEGROUNDS,988416
271590,Grand Theft Auto V,528396
359550,Tom Clancy's Rainbow Six Siege,373589
4000,Garry's Mod,368868
252490,Rust,266283
105600,Terraria,261468
292030,The Witcher 3: Wild Hunt,238050
252950,Rocket League,237389
218620,PAYDAY 2,235726
346110,ARK: Survival Evolved,196895
550,Left 4 Dead 2,185690
381210,Dead by Daylight,179491
221100,DayZ,178107
227300,Euro Truck Simulator 2,165185
72850,The Elder Scrolls V: Skyrim,161152
433850,Z1 Battle Royale,148076
413150,Stardew Valley,147122
49520,Borderlands 2,131590
620,Portal 2,122064
242760,The Forest,118529
275850,No Man's Sky,114429
377160,Fallout 4,102126
431960,Wallpaper Engine,98732
107410,Arma 3,96078
264710,Subnautica,95985
391540,Undertale,93445
319630,Life is Strange™,90482
8930,Sid Meier's Civilization V,90413
582010,MONSTER HUNTER: WORLD,90396
374320,DARK SOULS™ III,90126
322330,Don't Starve Together,88375
239140,Dying Light,86711
203160,Tomb Raider,83682
10,Counter-Strike,77416
222880,Insurgency,77150
250900,The Binding of Isaac: Rebirth,75601
48700,Mount & Blade: Warband,70073
255710,Cities: Skylines,68202
251570,7 Days to Die,66903
295110,Just Survive,66189
8870,BioShock Infinite,63281
22380,Fallout: New Vegas,61556
322170,Geometry Dash,60344
220,Half-Life 2,59654
365590,Tom Clancy's The Division,59227
211820,Starbound,58998
244850,Space Engineers,58424
240,Counter-Strike: Source,55737
435150,Divinity: Original Sin 2,55401
221380,Age of Empires II (2013),55210
219740,Don't Starve,54224
232090,Killing Floor 2,53983
367520,Hollow Knight,53163
379720,DOOM,52371
305620,The Long Dark,51860
262060,Darkest Dungeon®,50689
220200,Kerbal Space Program,50672
211420,DARK SOULS™: Prepare To Die Edition,49250
289070,Sid Meier's Civilization VI,48831
427520,Factorio,48823
220240,Far Cry® 3,47587
394360,Hearts of Iron IV,46954
282070,This War of Mine,46662
12210,Grand Theft Auto IV,46266
391220,Rise of the Tomb Raider,46176
400,Portal,46075
225540,Just Cause 3,45751
306130,The Elder Scrolls Online,45299
206420,Saints Row IV,44624
219640,Chivalry: Medieval Warfare,44088
236850,Europa Universalis IV,44043
281990,Stellaris,43715
629760,MORDHAU,43539
294100,RimWorld,42716
204360,Castle Crashers,42225
219150,Hotline Miami,41887
646570,Slay the Spire,41176
268910,Cuphead,40582
361420,ASTRONEER,40421
304390,For Honor,39819
265930,Goat Simulator,39405
20920,The Witcher 2: Assassins of Kings Enhanced Edition,38845
238460,BattleBlock Theater,38275
383870,Firewatch,37811
212680,FTL: Faster Than Light,37297
552520,Far Cry 5,37291
582160,Assassin's Creed Origins,36461
241930,Middle-earth™: Shadow of Mordor™,36310
524220,NieR:Automata™,36251
223470,POSTAL 2,36089
477160,Human: Fall Flat,36053
632360,Risk of Rain 2,34888
594650,Hunt: Showdown,34592
379430,Kingdom Come: Deliverance,34542
113200,The Binding of Isaac,34411
311690,Enter the Gungeon,34207
205100,Dishonored,33910
812140,Assassin's Creed Odyssey,33490
55230,Saints Row: The Third,33343
438740,Friday the 13th: The Game,33312
286690,Metro 2033 Redux,32707
231430,Company of Heroes 2,32640
1250,Killing Floor,32570
233450,Prison Architect,32568
814380,Sekiro™: Shadows Die Twice,32373
359320,Elite Dangerous,32371
460930,Tom Clancy's Ghost Recon® Wildlands,32328
238320,Outlast,32267
1085660,Destiny 2,31822
206440,To the Moon,31732
457140,Oxygen Not Included,31655
20900,The Witcher: Enhanced Edition,31618
219990,Grim Dawn,31150
221910,The Stanley Parable,31037
588650,Dead Cells,30758
12120,Grand Theft Auto: San Andreas,30704
447040,Watch_Dogs 2,30271
8190,Just Cause 2,30153
674940,Stick Fight: The Game,30119
552500,Warhammer: Vermintide 2,29862
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,29727
6060,"Star Wars: Battlefront 2 (Classic, 2005)",29414
998940,隐形守护者 The Invisible Guardian,29319
270880,American Truck Simulator,28953
393380,Squad,28887
225080,Brothers - A Tale of Two Sons,28705
207610,The Walking Dead,28583
644560,Mirror,28505
213670,South Park™: The Stick of Truth™,28351
440900,Conan Exiles,28257
268500,XCOM 2,28166
323190,Frostpunk,27896
274190,Broforce,27814
70,Half-Life,27713
433340,Slime Rancher,27612
581320,Insurgency: Sandstorm,27376
239030,"Papers, Please",27302
513710,SCUM,27296
287390,Metro: Last Light Redux,26857
239820,Game Dev Tycoon,26846
200510,XCOM: Enemy Unknown,26770
311210,Call of Duty: Black Ops III,26351
779340,Total War: THREE KINGDOMS,26249
242050,Assassin's Creed IV Black Flag,26035
594570,Total War: WARHAMMER II,25956
834910,ATLAS,25901
346010,Besiege,25840
234140,Mad Max,25837
242920,Banished,25683
261570,Ori and the Blind Forest,25593
208650,Batman™: Arkham Knight,25381
24960,Battlefield: Bad Company 2,25338
203770,Crusader Kings II,25282
364360,Total War: WARHAMMER,24790
214950,Total War: ROME II - Emperor Edition,24762
335300,DARK SOULS™ II: Scholar of the First Sin,24701
493340,Planet Coaster,24483
200710,Torchlight II,23438
243470,Watch_Dogs,23097
518790,theHunter: Call of the Wild™,23053
274170,Hotline Miami 2: Wrong Number,22988
414340,Hellblade: Senua's Sacrifice,22936
204100,Max Payne 3,22576
554620,Life is Strange: Before the Storm,22548
236430,DARK SOULS™ II,22514
242860,Verdun,22482
201810,Wolfenstein: The New Order,22390
489830,The Elder Scrolls V: Skyrim Special Edition,22382
883710,RESIDENT EVIL 2 / BIOHAZARD RE:2,22035
107100,Bastion,21707
237930,Transistor,21509
620980,Beat Saber,21435
356190,Middle-earth™: Shadow of War™,21383
298110,Far Cry 4,21270
246620,Plague Inc: Evolved,21044
504370,Battlerite,21033
313120,Stranded Deep,21005
1172380,STAR WARS Jedi: Fallen Order™ ,20731
299740,Miscreated,20405
307690,Sleeping Dogs: Definitive Edition,20170
418460,Rising Storm 2: Vietnam,20160
50130,Mafia II,20154
387990,Scrap Mechanic,20034
104900,ORION: Prelude,19959
284160,BeamNG.drive,19838
648800,Raft,19811
10090,Call of Duty: World at War,19544
236870,HITMAN™,19356
838350,太吾绘卷 The Scroll Of Taiwu,19330
261640,Borderlands: The Pre-Sequel,19128
35450,Rising Storm/Red Orchestra 2 Multiplayer,19119
203140,Hitman: Absolution,19093
289650,Assassin's Creed Unity,19086
274940,Depth,18994
304430,INSIDE,18994
307780,Mortal Kombat X,18977
22370,Fallout 3 - Game of the Year Edition,18945
200260,Batman: Arkham City GOTY,18914
644930,They Are Billions,18825
583950,Artifact,18776
233860,Kenshi,18674
40800,Super Meat Boy,18665
108710,Alan Wake,18606
214490,Alien: Isolation,18541
349040,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,18462
50300,Spec Ops: The Line,18462
244210,Assetto Corsa,18326
24240,PAYDAY: The Heist,18294
393420,Hurtworld,18215
17390,Spore,18156
253230,A Hat in Time,18039
582660,Black Desert Online,17966
548430,Deep Rock Galactic,17904
250320,The Wolf Among Us,17903
362890,Black Mesa,17884
108600,Project Zomboid,17857
261030,The Walking Dead: Season Two,17707
553640,ICEY,17559
226700,Infestation: Survivor Stories Classic,17537
248820,Risk of Rain,17457
33230,Assassin's Creed II,17396
3590,Plants vs. Zombies: Game of the Year,17328
648350,Jurassic World Evolution,17254
257510,The Talos Principle,17251
285900,Gang Beasts,17165
337000,Deus Ex: Mankind Divided™,17081
516750,My Summer Car,16847
387290,Ori and the Blind Forest: Definitive Edition,16839
310560,DiRT Rally,16769
500,Left 4 Dead,16679
389730,TEKKEN 7,16658
7670,BioShock,16231
431240,Golf With Your Friends,16172
34330,Total War: SHOGUN 2,16156
201270,Total War: SHOGUN 2,16154
403640,Dishonored 2,16132
17410,Mirror's Edge,16117
10180,Call of Duty: Modern Warfare 2,16105
508440,Totally Accurate Battle Simulator,15964
334230,Town of Salem,15934
466560,Northgard,15923
282140,SOMA,15920
48000,LIMBO,15870
8980,Borderlands GOTY,15840
360430,Mafia III,15745
434570,Blood and Bacon,15689
105450,Age of Empires® III: Complete Collection,15682
319510,Five Nights at Freddy's,15641
339800,HuniePop,15626
241540,State of Decay,15550
269210,Hero Siege,15406
39210,FINAL FANTASY XIV Online,15402
221640,Super Hexagon,15239
645630,Car Mechanic Simulator 2018,15176
480490,Prey,15174
247080,Crypt of the NecroDancer,15166
637650,FINAL FANTASY XV WINDOWS EDITION,15164
570,Dota 2,15120
447820,Day of Infamy,15071
601150,Devil May Cry 5,15002
657200,Hand Simulator,14991
333600,NEKOPARA Vol. 1,14923
209000,Batman™: Arkham Origins,14746
47890,The Sims(TM) 3,14660
813780,Age of Empires II: Definitive Edition,14596
302510,Ryse: Son of Rome,14595
570940,DARK SOULS™: REMASTERED,14539
33930,Arma 2: Operation Arrowhead,14509
247730,Nether,14371
240720,Getting Over It with Bennett Foddy,14354
260230,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,14349
110800,L.A. Noire,14307
383120,Empyrion - Galactic Survival,14243
207140,SpeedRunners,14142
312660,Sniper Elite 4,14125
384190,ABZÛ,14019
674020,World War 3,14011
42910,Magicka,14004
263280,Spintires®,13909
221040,Resident Evil 6 / Biohazard 6,13817
577800,NBA 2K18,13776
35140,Batman: Arkham Asylum GOTY Edition,13756
47870,Need for Speed: Hot Pursuit,13748
636480,Ravenfield,13715
750920,Shadow of the Tomb Raider,13659
41070,Serious Sam 3: BFE,13648
437220,The Culling,13621
22330,The Elder Scrolls IV: Oblivion ,13604
447530,VA-11 Hall-A: Cyberpunk Bartender Action,13568
617290,Remnant: From the Ashes,13550
460950,Katana ZERO,13536
476600,Call of Duty: WWII,13527
613100,House Flipper,13506
557340,My Friend Pedro,13453
418370,RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil,13371
312530,Duck Game,13319
406150,Refunct,13300
736190,中国式家长/Chinese Parents,13225
235460,METAL GEAR RISING: REVENGEANCE,13222
376210,The Isle,13184
250400,How to Survive,13150
244450,Men of War: Assault Squad 2,13122
489940,BATTALION 1944,13017
224540,Ace of Spades,13001
241600,Rogue Legacy,12969
666140,My Time At Portia,12955
668630,Tricolour Lovestory,12943
976310,Mortal Kombat 11,12943
325610,Total War: ATTILA,12905
326460,ShellShock Live,12892
241560,The Crew,12859
238010,Deus Ex: Human Revolution - Director's Cut,12852
703080,Planet Zoo,12647
841370,NBA 2K19,12634
447020,Farming Simulator 17,12630
32370,STAR WARS™: Knights of the Old Republic™,12622
409710,BioShock Remastered,12529
414700,Outlast 2,12394
683320,GRIS,12383
303210,The Beginner's Guide,12324
394510,HELLDIVERS™,12295
238090,Sniper Elite 3,12227
692850,Bloodstained: Ritual of the Night,12215
420,Half-Life 2: Episode Two,12208
367500,Dragon's Dogma: Dark Arisen,12108
678950,DRAGON BALL FighterZ,12066
501300,What Remains of Edith Finch,12013
330830,Tales from the Borderlands,11947
35720,Trine 2,11924
322500,SUPERHOT,11909
204300,Awesomenauts,11895
233130,Shadow Warrior,11893
298630,The Escapists,11857
504230,Celeste,11846
39140,FINAL FANTASY VII,11783
621060,PC Building Simulator,11783
420530,OneShot,11761
57300,Amnesia: The Dark Descent,11690
371660,Far Cry Primal,11643
787860,Farming Simulator 19,11603
288160,The Room,11591
475150,Titan Quest Anniversary Edition,11576
236090,Dust: An Elysian Tail,11547
344760,Reign Of Kings,11542
264200,One Finger Death Punch,11539
427730,Who's Your Daddy,11539
286160,Tabletop Simulator,11474
228380,Wreckfest,11452
254700,resident evil 4 / biohazard 4,11445
22300,Fallout 3,11377
214560,Mark of the Ninja,11373
233720,Surgeon Simulator,11348
235540,Warhammer: End Times - Vermintide,11334
232430,Gone Home,11304
434650,Lost Castle,11253
314160,Microsoft Flight Simulator X: Steam Edition,11242
374040,Portal Knights,11207
485510,Nioh: Complete Edition,11147
638970,Yakuza 0,11128
454650,DRAGON BALL XENOVERSE 2,11111
323470,DRAGON BALL XENOVERSE,11103
324800,Shadow Warrior 2,11015
373420,Divinity: Original Sin Enhanced Edition,10999
208480,Assassin's Creed® III,10961
245170,Skullgirls,10924
65980,Sid Meier's Civilization: Beyond Earth,10870
440,Team Fortress 2,10849
266840,Age of Mythology: Extended Edition,10844
235600,Tom Clancy's Splinter Cell Blacklist,10738
460920,Steep,10733
17460,Mass Effect,10699
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,10681
289130,Endless Legend,10660
310950,Street Fighter V,10630
385800,NEKOPARA Vol. 0,10579
313340,Mountain,10573
475550,Beholder,10565
650500,Wolfenstein II: The New Colossus German Edition,10498
237110,Mortal Kombat Komplete Edition,10498
612880,Wolfenstein II: The New Colossus,10498
80,Counter-Strike: Condition Zero,10450
24980,Mass Effect 2,10395
859580,Imperator: Rome,10389
332310,LEGO® Worlds,10382
239160,Thief,10299
555220,Detention,10275
24010,Train Simulator,10244
287290,Resident Evil Revelations 2 / Biohazard Revelations 2,10189
569480,Kingdoms and Castles,10179
278360,A Story About My Uncle,10157
955050,Bright Memory,10139
257850,Hyper Light Drifter,10054
204450,Call of Juarez Gunslinger,10052
420290,Blackwake,10046
646910,The Crew 2,10013
460790,Bayonetta,9978
12110,Grand Theft Auto: Vice City,9965
12240,Grand Theft Auto: Vice City,9965
368500,Assassin's Creed Syndicate,9934
444090,Paladins,9930
233270,Far Cry® 3 Blood Dragon,9905
474960,Quantum Break,9878
220440,DmC Devil May Cry,9866
256290,Child of Light,9796
202970,Call of Duty: Black Ops II,9771
219890,Antichamber,9745
102500,Kingdoms of Amalur: Reckoning™,9734
41700,S.T.A.L.K.E.R.: Call of Pripyat,9713
495890,Montaro,9705
313160,Farming Simulator 15,9696
774171,Muse Dash,9616
237990,The Banner Saga,9503
201790,Orcs Must Die! 2,9485
202170,Sleeping Dogs™,9462
535930,Two Point Hospital,9445
47810,Dragon Age: Origins - Ultimate Edition,9435
942970,Unheard,9392
418340,RWBY: Grimm Eclipse,9364
675010,MudRunner,9332
239350,Spelunky,9316
848450,Subnautica: Below Zero,9298
584400,Sonic Mania,9288
637090,BATTLETECH,9270
12200,Bully: Scholarship Edition,9227
273350,Evolve Stage 2,9211
4700,Total War: MEDIEVAL II - Definitive Edition,9203
208580,STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™,9121
640820,Pathfinder: Kingmaker,9071
10500,Total War: EMPIRE - Definitive Edition,9063
365450,Hacknet,9062
292730,Call of Duty: Infinite Warfare,9051
488790,South Park The Fractured But Whole,8911
21690,Resident Evil 5 / Biohazard 5,8900
428690,Youtubers Life,8862
323850,Move or Die,8862
47780,Dead Space 2,8808
48240,Anno 2070,8794
250760,Shovel Knight: Treasure Trove,8790
306460,Unturned - Permanent Gold Upgrade,8785
9219,Rage,8783
9200,RAGE,8782
863550,HITMAN™ 2,8765
291650,Pillars of Eternity,8762
301640,Zombie Army Trilogy,8751
392110,Endless Space 2,8731
402710,Osiris: New Dawn,8651
470220,UNO,8642
384300,CPUCores :: Maximize Your FPS,8617
282900,Hyperdimension Neptunia Re;Birth1,8595
22320,The Elder Scrolls III: Morrowind,8586
268050,The Evil Within,8574
751780,Forager,8458
353370,Steam Controller,8440
599140,Graveyard Keeper,8406
330840,Game of Thrones - A Telltale Games Series,8394
418240,Shadow Tactics: Blades of the Shogun,8369
678960,CODE VEIN,8358
505460,Foxhole,8357
209650,Call of Duty: Advanced Warfare,8341
473690,Absolver,8328
282800,100% Orange Juice,8327
211400,Deadlight,8325
209160,Call of Duty: Ghosts,8307
368360,60 Seconds!,8305
386940,Ultimate Chicken Horse,8299
285190,"Warhammer 40,000: Dawn of War III",8297
206190,Gunpoint,8280
7940,Call of Duty 4: Modern Warfare,8265
209080,Guns of Icarus Online,8250
425580,The Room Two,8223
35700,Trine,8191
283640,Salt and Sanctuary,8176
529180,Dark and Light,8175
294860,Valkyria Chronicles™,8140
17470,Dead Space,8138
224760,FEZ,8127
238430,Contagion,8116
300,Day of Defeat: Source,8113
994280,古剑奇谭三(Gujian3),8108
292120,FINAL FANTASY XIII,8107
270550,Yet Another Zombie Defense,8094
320300,Car Mechanic Simulator 2015,8087
265300,Lords Of The Fallen,8069
391720,Layers of Fear,8064
32470,STAR WARS™ Empire at War: Gold Pack,8050
493900,Dungeons 3,8022
251060,Wargame: Red Dragon,8004
248390,Craft The World,7947
536220,The Walking Dead: A New Frontier,7945
242680,Nuclear Throne,7942
311340,METAL GEAR SOLID V: GROUND ZEROES,7901
602520,NEKOPARA Vol. 3,7896
230230,Divinity: Original Sin (Classic),7779
332800,Five Nights at Freddy's 2,7774
420110,NEKOPARA Vol. 2,7770
644570,Material Girl,7768
424840,Little Nightmares,7753
304930,Unturned,7749
405640,Pony Island,7747
24740,Burnout Paradise: The Ultimate Box,7715
10680,Aliens vs. Predator,7703
70000,Dino D-Day,7685
626690,Sword Art Online: Fatal Bullet,7665
245620,Tropico 5,7655
12900,Audiosurf,7653
34870,Sniper Ghost Warrior 2,7626
728880,Overcooked! 2,7576
548570,RAGE 2,7572
44350,GRID 2,7528
482730,Football Manager 2017,7525
681660,Bless Online,7468
242700,Injustice: Gods Among Us Ultimate Edition,7463
365360,Battle Brothers,7459
65800,Dungeon Defenders,7455
335670,LISA,7452
290340,Armello,7439
225260,Brütal Legend,7422
290080,Life is Feudal: Your Own,7394
8850,BioShock 2,7383
48190,Assassin's Creed Brotherhood,7379
228300,Remember Me,7376
12220,Grand Theft Auto: Episodes from Liberty City,7350
223100,Homefront: The Revolution,7333
17300,Crysis,7323
234650,Shadowrun Returns,7310
380,Half-Life 2: Episode One,7258
351290,SURVIVAL,7250
4760,Rome: Total War,7176
234630,Project CARS,7170
360170,How to Survive 2,7163
388410,Darksiders II Deathinitive Edition,7157
760060,Mutant Year Zero: Road to Eden,7141
773951,Freeman: Guerrilla Warfare,7139
429660,Tales of Berseria,7122
413410,Danganronpa: Trigger Happy Havoc,7122
555160,Pavlov VR,7080
881100,Noita,7079
249130,LEGO® MARVEL Super Heroes,7039
519190,Next Day: Survival,7033
481510,Night in the Woods,6997
96100,Defy Gravity,6989
411300,ELEX,6984
752590,A Plague Tale: Innocence,6947
639790,DEEP SPACE WAIFU,6921
266510,Hand of Fate,6916
502500,ACE COMBAT™ 7: SKIES UNKNOWN,6907
376870,Minecraft: Story Mode - A Telltale Games Series,6901
249050,Dungeon of the Endless,6861
337340,Finding Paradise,6847
212480,Sonic & All-Stars Racing Transformed Collection,6842
226860,Galactic Civilizations III,6810
43160,Metro: Last Light,6797
498240,Batman - The Telltale Series,6795
19900,Far Cry 2,6794
265550,Dead Rising 3,6789
4920,Natural Selection 2,6777
230290,Universe Sandbox ²,6754
368340,CrossCode,6743
517630,Just Cause 4,6739
15100,Assassin's Creed,6731
641990,The Escapists 2,6719
448510,Overcooked,6719
359870,FINAL FANTASY X/X-2 HD Remaster,6690
210770,Sanctum 2,6681
533300,Zup!,6677
50620,Darksiders,6669
359050,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,6651
210970,The Witness,6634
449960,Book of Demons,6611
2600,Vampire: The Masquerade - Bloodlines,6568
394690,Tower Unite,6554
201870,Assassin's Creed Revelations,6551
34900,Bad Rats,6545
233290,MURDERED: SOUL SUSPECT™,6543
57690,Tropico 4,6536
446800,Transport Fever,6507
266010,LYNE,6504
341940,Hatred,6494
204880,Sins of a Solar Empire: Rebellion,6479
6000,STAR WARS™ Republic Commando,6475
400910,Rabi-Ribi,6460
590380,Into the Breach,6450
234670,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst,6430
1089350,NBA 2K20,6418
214340,Deponia,6410
686810,Hell Let Loose,6386
367580,Hook,6382
48720,Mount & Blade: With Fire and Sword,6379
732430,Superflight,6335
224480,Octodad: Dadliest Catch,6320
9480,Saints Row 2,6302
1097840,Gears 5,6301
394310,Punch Club,6288
246900,Viscera Cleanup Detail,6279
388090,Five Nights at Freddy's 4,6274
360940,The Mean Greens - Plastic Warfare,6260
464920,Surviving Mars,6249
412830,STEINS;GATE,6243
17450,Dragon Age: Origins,6228
1128000,Cube World,6222
6910,Deus Ex: Game of the Year Edition,6196
401920,The Binding of Isaac: Afterbirth,6193
386070,Planetary Annihilation: TITANS,6182
527230,For The King,6110
428550,Momodora: Reverie Under the Moonlight,6067
258520,The Vanishing of Ethan Carter,6060
253250,Stonehearth,6052
512900,Streets of Rogue,6051
527430,"Warhammer 40,000: Inquisitor - Martyr",6044
42680,Call of Duty: Modern Warfare 3,6033
115300,Call of Duty: Modern Warfare 3,6033
263980,Out There Somewhere,6031
939960,Far Cry New Dawn,6021
383980,Rivals of Aether,6003
601430,The Evil Within 2,6002
532210,Life is Strange 2,5983
815370,Green Hell,5974
519860,DUSK,5972
8500,EVE Online,5957
208140,Endless Space,5933
287980,Mini Metro,5906
555440,Deathgarden: BLOODHARVEST,5882
354830,Wolfenstein: The Old Blood German Edition,5877
350080,Wolfenstein: The Old Blood ,5877
20510,S.T.A.L.K.E.R.: Clear Sky,5863
244160,Homeworld Remastered Collection,5858
2990,FlatOut 2,5855
388880,Oxenfree,5852
6860,Hitman: Blood Money,5832
443810,This Is the Police,5830
1046030,ISLANDERS,5829
427290,Vampyr,5809
285920,TerraTech,5806
297000,Heroes of Might & Magic III - HD Edition,5805
794260,Outward,5800
362960,Tyranny,5797
31280,Poker Night at the Inventory,5791
385760,NBA 2K17,5773
45760,Ultra Street Fighter IV,5769
20500,Red Faction: Guerrilla Steam Edition,5767
34030,Total War: NAPOLEON - Definitive Edition,5763
712100,Total War Saga: Thrones of Britannia,5761
413420,Danganronpa 2: Goodbye Despair,5751
291860,Pit People,5749
378648,The Witcher 3: Wild Hunt - Blood and Wine,5741
301910,Saints Row: Gat out of Hell,5735
6020,STAR WARS™ Jedi Knight: Jedi Academy™,5708
603850,Age of Civilizations II,5703
42960,Victoria II,5703
474750,Reigns,5697
552100,Brick Rigs,5686
430960,Lucy -The Eternity She Wished For-,5685
337320,Paint the Town Red,5678
71340,Sonic Generations,5676
311560,Assassin's Creed Rogue,5672
221680,Rocksmith® 2014 Edition - Remastered,5655
851100,Touhou Luna Nights,5648
503560,911 Operator,5644
589290,Holdfast: Nations At War,5644
878750,Hentai Girl,5641
492720,Tropico 6,5627
451340,Gold Rush: The Game,5625
290300,Rebel Galaxy,5620
445980,Wizard of Legend,5597
611500,Quake Champions,5596
396750,EVERSPACE™,5587
372000,Tree of Savior (English Ver.),5581
270150,RUNNING WITH RIFLES,5568
248610,Door Kickers,5566
232810,Godus,5544
383150,Dead Island Definitive Edition,5526
304240,Resident Evil / biohazard HD REMASTER,5500
424370,Wolcen: Lords of Mayhem,5493
245470,Democracy 3,5475
665360,Comedy Night,5470
866800,The Walking Dead: The Final Season,5465
736260,Baba Is You,5436
341800,Keep Talking and Nobody Explodes,5434
304650,Sunless Sea,5432
204340,Serious Sam 2,5430
55150,"Warhammer 40,000: Space Marine",5428
296300,Ballistic Overkill,5421
300380,Road Redemption,5420
392160,X4: Foundations,5420
108800,Crysis 2 Maximum Edition,5418
367450,Poly Bridge,5416
